"source_id","exists","hash_matches","schema_matches","physical_rows_match","analysis_rows_match","actual_rows","actual_analysis_rows","actual_sha256","pass"
"SRC-SIM-FACTS",TRUE,TRUE,TRUE,TRUE,TRUE,37,,"70bcb60f8b53dc336170d61d6048f047ea8c014de31e95e836aeab4f1ef9ebeb",TRUE
"SRC-SIM-COND",TRUE,TRUE,TRUE,TRUE,TRUE,5400,240,"db3cd25e4295bced1f6cd4399ae2cf59a0cf5e67cdea415ba60985fee852a180",TRUE
"SRC-SIM-EVIDENCE",TRUE,TRUE,TRUE,TRUE,TRUE,640,120,"d42233dcfdcf286b419bb870f8c152825d324398f239e88af5df323274476f85",TRUE
"SRC-CASE-V2-BOOK",TRUE,TRUE,TRUE,TRUE,TRUE,,,"863faa6a106a1bda40e0f4e259267632799816cf838b6ef923c4b65da28ab8c4",TRUE
"SRC-CASE-RELIABILITY",TRUE,TRUE,TRUE,TRUE,TRUE,13,13,"4356d4693e631df46f7784f50ed05b95548a0f501257ce6f727de18895ee8df9",TRUE
"SRC-CASE-MATERIALITY",TRUE,TRUE,TRUE,TRUE,TRUE,3,3,"9ac43b25e41a72cfc32b3743e3288b2a1774203a80f9b32767c3e29ae7a3ff5c",TRUE
"SRC-CASE-NULL",TRUE,TRUE,TRUE,TRUE,TRUE,20,20,"94d8af15ac2ed1b53b87ada3c81d8a864a09febe476270655c73d2970ba8e1ff",TRUE
"SRC-CASE-SEED",TRUE,TRUE,TRUE,TRUE,TRUE,234,234,"6721d3b8b40d7f8416b0ec377a067d59e1b03603739a72385dfd4dff1d602f9d",TRUE
"SRC-IRW-REL-FULL889",TRUE,TRUE,TRUE,TRUE,TRUE,889,889,"b6b451c6230f3c9f3f1597ab5f6b8a21a08fc19be8fde2e2426c255ff6cdd0c3",TRUE
"SRC-IRW-REL-PUBLIC879",TRUE,TRUE,TRUE,TRUE,TRUE,879,879,"4c4797ce6e280ac4405e77e0de181b386b904e9941f69ae6d305b39861695120",TRUE
"SRC-IRW-SHAPE504",TRUE,TRUE,TRUE,TRUE,TRUE,590,504,"a7e2a99ff4f84297050ec9be5f326eeb77eab941f4790a078976a2846ce7d04f",TRUE
