"source_class","register_values","citation_keys","text_patterns"
"simulation","DPMirt-simulation-study | DPMirt-simulation-study-v3","lee_simulation_2026","dpmirt_repository | simulation_volume | simulation_book | companion_simulation"
"case_study","DPMirt-case-study","lee_casestudy_2026","dpmirt_repository | case_study_volume | case_study_book | companion_case_study"
"irw_reliability","IRW-reliability-study","lee_reliability-distribution_2026","warehouse_reliability | irw_reliability | reliability_corpus"
"irw_shape","IRW-shape-study","lee_theta-nonnormality_2026","warehouse_shape | irw_shape | shape_corpus"
