"shape","items","wbar","concordance","quadrature_nodes","curve"
"heavy-tailed logistic",,0.6075,0.781014715100851,800,"matched"
"heavy-tailed logistic",,0.615,0.783582288768583,800,"matched"
"heavy-tailed logistic",,0.6225,0.786149862436314,800,"matched"
"heavy-tailed logistic",,0.63,0.788722645943573,800,"matched"
"heavy-tailed logistic",,0.6375,0.791390821344992,800,"matched"
"heavy-tailed logistic",,0.645,0.794058996746411,800,"matched"
"heavy-tailed logistic",,0.6525,0.79672717214783,800,"matched"
"heavy-tailed logistic",,0.66,0.79939534754925,800,"matched"
"heavy-tailed logistic",,0.6675,0.802063522950669,800,"matched"
"heavy-tailed logistic",,0.675,0.804731698352088,800,"matched"
"heavy-tailed logistic",,0.6825,0.807399873753507,800,"matched"
"heavy-tailed logistic",,0.69,0.810068049154926,800,"matched"
"heavy-tailed logistic",,0.6975,0.812736224556345,800,"matched"
"heavy-tailed logistic",,0.705,0.815404399957764,800,"matched"
"heavy-tailed logistic",,0.7125,0.818072575359184,800,"matched"
"heavy-tailed logistic",,0.72,0.820740750760603,800,"matched"
"heavy-tailed logistic",,0.7275,0.823408926162022,800,"matched"
"heavy-tailed logistic",,0.735,0.826162112467645,800,"matched"
"heavy-tailed logistic",,0.7425,0.829088646780472,800,"matched"
"heavy-tailed logistic",,0.75,0.832015181093299,800,"matched"
"heavy-tailed logistic",,0.7575,0.834941715406126,800,"matched"
"heavy-tailed logistic",,0.765,0.837868249718954,800,"matched"
"heavy-tailed logistic",,0.7725,0.840794784031781,800,"matched"
"heavy-tailed logistic",,0.78,0.843721318344608,800,"matched"
"heavy-tailed logistic",,0.7875,0.846647852657436,800,"matched"
"heavy-tailed logistic",,0.795,0.849574386970263,800,"matched"
"heavy-tailed logistic",,0.8025,0.85250092128309,800,"matched"
"heavy-tailed logistic",,0.81,0.855427455595917,800,"matched"
"heavy-tailed logistic",,0.8175,0.858709372461832,800,"matched"
"heavy-tailed logistic",,0.825,0.862057043044824,800,"matched"
"heavy-tailed logistic",,0.8325,0.865404713627815,800,"matched"
"heavy-tailed logistic",,0.84,0.868752384210807,800,"matched"
"heavy-tailed logistic",,0.8475,0.872100054793798,800,"matched"
"heavy-tailed logistic",,0.855,0.87544772537679,800,"matched"
"heavy-tailed logistic",,0.8625,0.878795395959781,800,"matched"
"heavy-tailed logistic",,0.87,0.882143066542772,800,"matched"
"heavy-tailed logistic",,0.8775,0.885815744360866,800,"matched"
"heavy-tailed logistic",,0.885,0.889738034859831,800,"matched"
"heavy-tailed logistic",,0.8925,0.893660325358796,800,"matched"
"heavy-tailed logistic",,0.9,0.897582615857761,800,"matched"
"heavy-tailed logistic",,0.9075,0.901504906356726,800,"matched"
"heavy-tailed logistic",,0.915,0.905718308434877,800,"matched"
"heavy-tailed logistic",,0.9225,0.910341224265462,800,"matched"
"heavy-tailed logistic",,0.93,0.914964140096048,800,"matched"
"heavy-tailed logistic",,0.9375,0.919587055926634,800,"matched"
"heavy-tailed logistic",,0.945,0.924830203928165,800,"matched"
"heavy-tailed logistic",,0.9525,0.930303068359395,800,"matched"
"heavy-tailed logistic",,0.96,0.936105968485769,800,"matched"
"normal",,0.51,0.75365021874839,800,"matched"
"normal",,0.5175,0.756239747751842,800,"matched"
"normal",,0.525,0.758829276755295,800,"matched"
"normal",,0.5325,0.761418805758747,800,"matched"
"normal",,0.54,0.7640083347622,800,"matched"
"normal",,0.5475,0.766597863765652,800,"matched"
"normal",,0.555,0.769187392769105,800,"matched"
"normal",,0.5625,0.771776921772557,800,"matched"
"normal",,0.57,0.77436645077601,800,"matched"
"normal",,0.5775,0.776955979779462,800,"matched"
"normal",,0.585,0.779545508782915,800,"matched"
"normal",,0.5925,0.782135037786367,800,"matched"
"normal",,0.6,0.78472456678982,800,"matched"
"normal",,0.6075,0.787314095793272,800,"matched"
"normal",,0.615,0.789903624796725,800,"matched"
"normal",,0.6225,0.792493153800177,800,"matched"
"normal",,0.63,0.79508268280363,800,"matched"
"normal",,0.6375,0.79771589057371,800,"matched"
"normal",,0.645,0.800380745017072,800,"matched"
"normal",,0.6525,0.803045599460434,800,"matched"
"normal",,0.66,0.805710453903796,800,"matched"
"normal",,0.6675,0.808375308347159,800,"matched"
"normal",,0.675,0.811040162790521,800,"matched"
"normal",,0.6825,0.813705017233883,800,"matched"
"normal",,0.69,0.816369871677245,800,"matched"
"normal",,0.6975,0.819034726120607,800,"matched"
"normal",,0.705,0.821699580563969,800,"matched"
"normal",,0.7125,0.824364435007331,800,"matched"
"normal",,0.72,0.827029289450694,800,"matched"
"normal",,0.7275,0.829694143894056,800,"matched"
"normal",,0.735,0.832358998337418,800,"matched"
"normal",,0.7425,0.835234665038611,800,"matched"
"normal",,0.75,0.83812915917249,800,"matched"
"normal",,0.7575,0.841023653306368,800,"matched"
"normal",,0.765,0.843918147440246,800,"matched"
"normal",,0.7725,0.846812641574125,800,"matched"
"normal",,0.78,0.849707135708003,800,"matched"
"normal",,0.7875,0.852601629841881,800,"matched"
"normal",,0.795,0.855496123975759,800,"matched"
"normal",,0.8025,0.858390618109638,800,"matched"
"normal",,0.81,0.861285112243516,800,"matched"
"normal",,0.8175,0.86437930605299,800,"matched"
"normal",,0.825,0.867660862899995,800,"matched"
"normal",,0.8325,0.870942419747,800,"matched"
"normal",,0.84,0.874223976594005,800,"matched"
"normal",,0.8475,0.87750553344101,800,"matched"
"normal",,0.855,0.880787090288015,800,"matched"
"normal",,0.8625,0.88406864713502,800,"matched"
"normal",,0.87,0.887350203982025,800,"matched"
"normal",,0.8775,0.89080629216754,800,"matched"
