"shape","items","wbar_fine","concordance_fine","wbar_coarse","concordance_coarse","absolute_wbar_difference","absolute_concordance_difference"
"bimodal",10,0.637518967451875,0.786546179507993,0.637530178399677,0.7868837411879,1.12109478016542e-05,0.000337561679907172
"bimodal",130,0.958856851428381,0.90126427378298,0.958858956695619,0.901751857855589,2.10526723865012e-06,0.000487584072609404
"bimodal",16,0.739405366087849,0.813304611272415,0.739415106160697,0.81367349133529,9.74007284815226e-06,0.000368880062874943
"bimodal",180,0.969953556392942,0.913254543431163,0.969955114739673,0.913759295697422,1.558346731656e-06,0.000504752266259234
"bimodal",25,0.816646146588696,0.834098746763908,0.816653891887007,0.834492385710359,7.74529831082393e-06,0.000393638946450503
"bimodal",40,0.877260893500794,0.853881378745177,0.87726654582415,0.854300535730427,5.65232335647536e-06,0.000419156985249525
"bimodal",6,0.509258753048598,0.749541018528228,0.509269907583777,0.749834184856642,1.11545351788589e-05,0.000293166328414141
"bimodal",60,0.914807969044432,0.870517670836202,0.914812093000939,0.870960176531487,4.12395650650765e-06,0.000442505695284701
"bimodal",90,0.94160306340544,0.886914237917669,0.941605988388833,0.887380764309156,2.92498339371505e-06,0.000466526391486699
"heavy-tailed logistic",10,0.629611599174047,0.788584469739613,0.630315221112518,0.788936838263286,0.000703621938470733,0.000352368523672375
"heavy-tailed logistic",130,0.957361681577594,0.933850711583659,0.957496326072884,0.934386490759591,0.000134644495289882,0.000535779175931506
"heavy-tailed logistic",16,0.732532185833836,0.82519916008965,0.733146338095404,0.825599676993432,0.000614152261567913,0.000400516903782067
"heavy-tailed logistic",180,0.968846357340642,0.943667909562168,0.968946102323812,0.944214896782765,9.97449831694475e-05,0.000546987220596873
"heavy-tailed logistic",25,0.811171005474978,0.855884387289655,0.811661615293645,0.856324326611838,0.000490609818667664,0.000439939322183225
"heavy-tailed logistic",40,0.873257971146652,0.883597281765157,0.873617425546207,0.884072117630486,0.000359454399554648,0.000474835865329482
"heavy-tailed logistic",6,0.501334196541123,0.744669578917577,0.502033939965633,0.744962724252832,0.000699743424509847,0.000293145335255818
"heavy-tailed logistic",60,0.911883731225019,0.903797475334581,0.91214666524442,0.904297273708609,0.000262934019401362,0.000499798374028582
"heavy-tailed logistic",90,0.939527032248107,0.920836495855818,0.939713873130268,0.921356923542426,0.000186840882160477,0.000520427686608538
"normal",10,0.63315099453648,0.796170628369221,0.633309292143532,0.796529085483086,0.000158297607051994,0.000358457113864286
"normal",130,0.958035280063112,0.937625276827419,0.958065306425787,0.938166095100887,3.00263626750175e-05,0.000540818273467969
"normal",16,0.735614901303946,0.832577481333691,0.735752735424293,0.832984471029326,0.00013783412034718,0.000406989695634685
"normal",180,0.969345283912872,0.946931516903378,0.969367519794775,0.947483194356834,2.22358819030877e-05,0.000551677453455413
"normal",25,0.813630478301898,0.862686231996585,0.813740353570159,0.863132770447669,0.000109875268260451,0.000446538451084222
"normal",40,0.875058323852633,0.889563427618422,0.875138683902164,0.890044641979801,8.03600495309365e-05,0.000481214361379378
"normal",6,0.504871998327808,0.751879670873737,0.505029727775109,0.752178528512281,0.000157729447301524,0.000298857638543981
"normal",60,0.913199947915955,0.908978317035758,0.913258663228716,0.909484088719552,5.87153127606932e-05,0.000505771683793843
"normal",90,0.940461983354817,0.925251657054591,0.940503672110689,0.925777566673086,4.16887558720713e-05,0.000525909618495635
"skewed",10,0.62064489352674,0.775468041932642,0.622625437877175,0.775808797229141,0.00198054435043549,0.000340755296498463
"skewed",130,0.955623579413917,0.92391723222809,0.956011463554887,0.924441141211758,0.000387884140969907,0.000523908983667942
"skewed",16,0.724678783673679,0.811185486083274,0.726418896073127,0.811570808182633,0.00174011239944805,0.00038532209935882
"skewed",180,0.967558093213849,0.934833365736147,0.967845698108703,0.935370146839483,0.000287604894853799,0.000536781103336215
"skewed",25,0.80487795588431,0.841780957144819,0.806275747379896,0.842204301114621,0.00139779149558672,0.000423343969801815
"skewed",40,0.868635137338378,0.870141079175969,0.869663974367876,0.870599502462386,0.00102883702949819,0.000458423286417764
"skewed",6,0.492435994942376,0.733298566813939,0.494392982307135,0.733586413007094,0.00195698736475952,0.000287846193154473
"skewed",60,0.908496486373323,0.891356233824288,0.909251277615495,0.891840729586201,0.000754791242172148,0.000484495761913228
"skewed",90,0.937117080679511,0.909661852132445,0.937654583152263,0.91016863787242,0.000537502472751639,0.000506785739975091
