"wbar","minimum","maximum","mean","gap"
0.51,0.73907558293716,0.75365021874839,0.74752923486329,0.0145746358112298
0.5175,0.741542424684359,0.756239747751842,0.749976189008207,0.0146973230674835
0.525,0.744009266431557,0.758829276755295,0.752423143153125,0.0148200103237374
0.5325,0.746476108178756,0.761418805758747,0.754870097298043,0.0149426975799911
0.54,0.748942949925955,0.7640083347622,0.757317051442961,0.0150653848362449
0.5475,0.751409791673154,0.766597863765652,0.759764005587879,0.0151880720924986
0.555,0.753876633420352,0.769187392769105,0.762210959732797,0.0153107593487525
0.5625,0.756343475167551,0.771776921772557,0.764657913877715,0.0154334466050062
0.57,0.75881031691475,0.77436645077601,0.767104868022633,0.01555613386126
0.5775,0.761277158661948,0.776955979779462,0.769551822167551,0.0156788211175138
0.585,0.763744000409147,0.779545508782915,0.771998776312469,0.0158015083737676
0.5925,0.766210842156346,0.782135037786367,0.774445730457387,0.0159241956300215
0.6,0.768677683903545,0.78472456678982,0.776892684602305,0.0160468828862751
0.6075,0.771144525650743,0.787314095793272,0.779339638747223,0.016169570142529
0.615,0.773611367397942,0.789903624796725,0.781786592892141,0.0162922573987827
0.6225,0.776104946519778,0.792493153800177,0.784240231380718,0.0163882072803991
0.63,0.778679884655335,0.79508268280363,0.786715512082608,0.0164027981482943
0.6375,0.781254822790893,0.79771589057371,0.789225560449694,0.0164610677828173
0.645,0.78382976092645,0.800380745017072,0.791695106570497,0.0165509840906222
0.6525,0.786404699062007,0.803045599460434,0.79416452994239,0.016640900398427
0.66,0.788979637197565,0.805710453903796,0.796633953314282,0.0167308167062318
0.6675,0.791554575333122,0.808375308347159,0.799103376686174,0.0168207330140366
0.675,0.79412951346868,0.811040162790521,0.801572800058067,0.0169106493218414
0.6825,0.796704451604237,0.813705017233883,0.804042223429959,0.0170005656296461
0.69,0.799279389739794,0.816369871677245,0.806511646801851,0.017090481937451
0.6975,0.801854327875351,0.819034726120607,0.808981070173744,0.0171803982452559
0.705,0.804268727649902,0.821699580563969,0.811450493545636,0.0174308529140678
0.7125,0.806238453157132,0.824364435007331,0.813919916917528,0.0181259818501991
0.72,0.808208178664363,0.827029289450694,0.816389340289421,0.0188211107863305
0.7275,0.810177904171594,0.829694143894056,0.818885684072126,0.0195162397224617
0.735,0.812147629678825,0.832358998337418,0.821447926139404,0.0202113686585932
0.7425,0.814137723476209,0.835234665038611,0.824111300345479,0.0210969415624024
0.75,0.816156812552924,0.83812915917249,0.826786630229558,0.0219723466195657
0.7575,0.818175901629639,0.841023653306368,0.829461960113636,0.0228477516767289
0.765,0.820194990706354,0.843918147440246,0.832137289997716,0.0237231567338922
0.7725,0.822214079783069,0.846812641574125,0.834812619881794,0.0245985617910555
0.78,0.824233168859784,0.849707135708003,0.837487949765873,0.0254739668482188
0.7875,0.826252257936499,0.852601629841881,0.840163279649952,0.026349371905382
0.795,0.828271347013214,0.855496123975759,0.842838609534031,0.0272247769625452
0.8025,0.830290436089929,0.858390618109638,0.84551393941811,0.0281001820197084
0.81,0.832309525166644,0.861285112243516,0.848270352475897,0.0289755870768718
0.8175,0.834377416042628,0.86437930605299,0.85121538014656,0.0300018900103617
0.825,0.836825165928884,0.867660862899995,0.854318651758443,0.0308356969711109
0.8325,0.83927291581514,0.870942419747,0.857421923370327,0.0316695039318601
0.84,0.841720665701396,0.874223976594005,0.86052519498221,0.0325033108926092
0.8475,0.844168415587652,0.87750553344101,0.863628466594093,0.0333371178533584
0.855,0.846616165473908,0.880787090288015,0.866731738205976,0.0341709248141076
0.8625,0.849063915360163,0.88406864713502,0.869835009817859,0.0350047317748566
0.87,0.851511665246419,0.887350203982025,0.872968106800548,0.0358385387356057
0.8775,0.853987321631648,0.89080629216754,0.87636713183422,0.0368189705358911
0.885,0.857310408420064,0.8946239500205,0.880130810055768,0.0373135416004368
0.8925,0.860633495208479,0.898441607873461,0.883894488277316,0.0378081126649824
0.9,0.863956581996894,0.902259265726422,0.887658166498864,0.0383026837295283
0.9075,0.867279668785309,0.906076923579383,0.891421844720412,0.0387972547940739
0.915,0.870635179227935,0.91005280979258,0.895480538183504,0.0394176305646449
0.9225,0.875224610840087,0.914529733403619,0.900102098490992,0.0393051225635327
0.93,0.879814042452239,0.919006657014659,0.90472365879848,0.0391926145624204
0.9375,0.884403474064391,0.923483580625699,0.909357730465651,0.0390801065613082
0.945,0.889739481968385,0.928446942118192,0.914687654495794,0.0387074601498073
0.9525,0.895977258208984,0.933727803748009,0.920379824751843,0.0377505455390247
0.96,0.902499474652556,0.939241912476494,0.926441891360666,0.0367424378239386
