"metric","value"
"quadrature_nodes_fine",800
"quadrature_nodes_coarse",400
"comparison_wbar_low",0.51
"comparison_wbar_high",0.96
"mean_concordance_low",0.74752923486329
"mean_concordance_high",0.926441891360666
"reliability_effect",0.178912656497376
"maximum_matched_shape_gap",0.0394176305646449
"wbar_at_maximum_gap",0.915
"effect_to_max_gap_ratio",4.53889931826216
"highest_common_wbar",0.96
"gap_at_highest_common_wbar",0.0367424378239386
"maximum_fine_coarse_concordance_difference",0.000551677453455413
"maximum_fine_coarse_wbar_difference",0.00198054435043549
"near_tie_mass_normal",0.140343749999881
"near_tie_mass_bimodal",0.230759374999671
"near_tie_mass_skewed",0.173712499999804
"near_tie_mass_heavy_tailed_logistic",0.150128124999859
